code,chapitre,chapitre_libelle,groupe,groupe_libelle,variete,libelle,libelle_normalise,sai,revision
0000,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,non,
0010,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,10,NORMAL SOUS TRAITEMENT,NORMAL SOUS TRAITEMENT,non,
0020,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,20,NORMAL APRES TRAITEMENT - LESION GUERIE APRES TRAITEMENT,NORMAL APRES TRAITEMENT - LESION GUERIE APRES TRAITEMENT,non,1997 AJOUT
0030,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,30,NODULE LYMPHOIDE PHYSIOLOGIQUE,NODULE LYMPHOIDE PHYSIOLOGIQUE,non,
0040,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,40,ETAT SUBNORMAL - LESION MINEURE,ETAT SUBNORMAL - LESION MINEURE,non,
0050,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,50,LESION RESIDUELLE,LESION RESIDUELLE,non,1997 AJOUT
0051,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,51,LESION AMELIOREE PAR LE TRAITEMENT,LESION AMELIOREE PAR LE TRAITEMENT,non,1997 AJOUT
0052,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,52,LESION MODIFIEE PAR LE TRAITEMENT,LESION MODIFIEE PAR LE TRAITEMENT,non,1997 AJOUT
0060,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,60,LESION RESISTANTE AU TRAITEMENT,LESION RESISTANTE AU TRAITEMENT,non,1997 AJOUT
0070,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,70,LESION RECIDIVANTE,LESION RECIDIVANTE,non,1997 AJOUT
0080,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,80,MATERIEL AYANT FAIT L'OBJET D'UNE RELECTURE,MATERIEL AYANT FAIT L'OBJET D'UNE RELECTURE,non,1998 AJOUT
0081,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,81,DIAGNOSTIC INITIAL CONFIRME APRES RELECTURE,DIAGNOSTIC INITIAL CONFIRME APRES RELECTURE,non,1998 AJOUT
0082,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,82,DIAGNOSTIC INITIAL MODIFIE APRES RELECTURE,DIAGNOSTIC INITIAL MODIFIE APRES RELECTURE,non,1998 AJOUT
0083,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,83,LESION CONSIDEREE COMME FAUX NEGATIF APRES RELECTURE,LESION CONSIDEREE COMME FAUX NEGATIF APRES RELECTURE,non,1998 AJOUT
0084,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,84,LESION CONSIDEREE COMME FAUX POSITIF APRES RELECTURE,LESION CONSIDEREE COMME FAUX POSITIF APRES RELECTURE,non,1998 AJOUT
0085,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,85,DIAGNOSTIC INITIAL MODIFIE APRES NOUVEAUX PRELEVEMENTS OU PLANS DE COUPE – LESION NON VUE SUR EXAMEN EXTEMPORANE OU PREMIERS PRELEVEMENTS,DIAGNOSTIC INITIAL MODIFIE APRES NOUVEAUX PRELEVEMENTS OU PLANS DE COUPE – LESION NON VUE SUR EXAMEN EXTEMPORANE OU PREMIERS PRELEVEMENTS,non,2007 AJOUT
0088,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,88,EXAMEN HISTOLOGIQUE DE DEPISTAGE,EXAMEN HISTOLOGIQUE DE DEPISTAGE,non,2007 AJOUT
0089,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,89,EXAMEN HISTOLOGIQUE DE CONTROLE,EXAMEN HISTOLOGIQUE DE CONTROLE,non,2007 AJOUT
0090,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,90,CONCORDANCE HISTOLOGIQUE AVEC EXAMEN CYTOLOGIQUE ANTERIEUR,CONCORDANCE HISTOLOGIQUE AVEC EXAMEN CYTOLOGIQUE ANTERIEUR,non,1998 AJOUT
0091,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,91,CONCORDANCE AVEC EXAMEN HISTOLOGIQUE ANTERIEUR - CONCORDANCE AVEC EXAMEN EXTEMPORANE,CONCORDANCE AVEC EXAMEN HISTOLOGIQUE ANTERIEUR - CONCORDANCE AVEC EXAMEN EXTEMPORANE,non,1998 AJOUT
0092,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,92,DISCORDANCE HISTOLOGIQUE AVEC EXAMEN CYTOLOGIQUE ANTERIEUR,DISCORDANCE HISTOLOGIQUE AVEC EXAMEN CYTOLOGIQUE ANTERIEUR,non,1998 AJOUT
0093,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,93,DISCORDANCE AVEC EXAMEN HISTOLOGIQUE ANTERIEUR - DISCORDANCE AVEC EXAMEN EXTEMPORANE,DISCORDANCE AVEC EXAMEN HISTOLOGIQUE ANTERIEUR - DISCORDANCE AVEC EXAMEN EXTEMPORANE,non,1998 AJOUT
0100,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,00,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,non,
0102,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,02,MATERIEL SOUMIS A DECALCIFICATION,MATERIEL SOUMIS A DECALCIFICATION,non,1997 AJOUT
0110,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,10,PRELEVEMENT SANS VALEUR,PRELEVEMENT SANS VALEUR,non,
0111,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,11,PRELEVEMENT SANS VALEUR : PAR INSUFFISANCE OU ABSENCE DE MATERIEL,PRELEVEMENT SANS VALEUR : PAR INSUFFISANCE OU ABSENCE DE MATERIEL,non,
0112,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,12,PRELEVEMENT SANS VALEUR : PAR MAUVAISE FIXATION,PRELEVEMENT SANS VALEUR : PAR MAUVAISE FIXATION,non,
0113,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,13,PRELEVEMENT SANS VALEUR : PAR INCLUSION INAPPROPRIEE,PRELEVEMENT SANS VALEUR : PAR INCLUSION INAPPROPRIEE,non,
0114,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,14,PRELEVEMENT SANS VALEUR : PAR ALTERATION DUE AU PRELEVEMENT,PRELEVEMENT SANS VALEUR : PAR ALTERATION DUE AU PRELEVEMENT,non,
0115,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,15,PRELEVEMENT SANS VALEUR : PAR NECROSE,PRELEVEMENT SANS VALEUR : PAR NECROSE,non,
0116,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,16,PRELEVEMENT SANS VALEUR : PAR PUTREFACTION OU AUTOLYSE CADAVERIQUE,PRELEVEMENT SANS VALEUR : PAR PUTREFACTION OU AUTOLYSE CADAVERIQUE,non,
0117,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,17,PRELEVEMENT SANS VALEUR : PAR ARTEFACT,PRELEVEMENT SANS VALEUR : PAR ARTEFACT,non,
0118,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,18,"ABSENCE DE PRELEVEMENT (FLACON VIDE,...)","ABSENCE DE PRELEVEMENT (FLACON VIDE,...)",non,1997 AJOUT
0119,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,19,PRELEVEMENT SANS VALEUR : PAR ERREUR DE PRELEVEMENT DE L'ORGANE OU DE LA LESION (PRELEVEMENT NON CONTRIBUTIF),PRELEVEMENT SANS VALEUR : PAR ERREUR DE PRELEVEMENT DE L'ORGANE OU DE LA LESION (PRELEVEMENT NON CONTRIBUTIF),non,1992 AJOUT
0120,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,20,PRELEVEMENT A USAGE DE GREFFE,PRELEVEMENT A USAGE DE GREFFE,non,
0121,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,21,PRELEVEMENT EN URGENCE (REPONSE EN HEURES),PRELEVEMENT EN URGENCE (REPONSE EN HEURES),non,1992 AJOUT
0122,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,22,REPONSE DIFFEREE,REPONSE DIFFEREE,non,1997 AJOUT
0130,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,30,MORT SUBITE,MORT SUBITE,non,
0131,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,31,MORT SUBITE INEXPLIQUEE DU NOURRISSON,MORT SUBITE INEXPLIQUEE DU NOURRISSON,non,
0132,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,32,MORT SUBITE DU NOUVEAU-NE (DOUBLE CODAGE DE LA CAUSE SI ELLE EST CONNUE),MORT SUBITE DU NOUVEAU-NE (DOUBLE CODAGE DE LA CAUSE SI ELLE EST CONNUE),non,1999 AJOUT
0133,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,33,MORT FOETALE IN UTERO,MORT FOETALE IN UTERO,non,1999 AJOUT
0140,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,40,LESION SANS INTERET,LESION SANS INTERET,non,
0142,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,42,LESION POSTMORTEM,LESION POSTMORTEM,non,
0143,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,43,MACERATION MINIME,MACERATION MINIME,non,
0144,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,44,MACERATION MOYENNE,MACERATION MOYENNE,non,
0145,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,45,MACERATION MAJEURE,MACERATION MAJEURE,non,
0146,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,46,MOMIFICATION POSTMORTEM,MOMIFICATION POSTMORTEM,non,
0150,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,50,LESION D'INTERET PARTICULIER,LESION D'INTERET PARTICULIER,non,
0151,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,51,LESION D'INTERET PARTICULIER POUR SA RARETE,LESION D'INTERET PARTICULIER POUR SA RARETE,non,
0152,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,52,LESION D'INTERET PARTICULIER POUR PUBLICATION,LESION D'INTERET PARTICULIER POUR PUBLICATION,non,
0153,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,53,LESION D'INTERET PARTICULIER POUR COLLECTION,LESION D'INTERET PARTICULIER POUR COLLECTION,non,
0154,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,54,PIECE MACROSCOPIQUE A GARDER,PIECE MACROSCOPIQUE A GARDER,non,1998 AJOUT
0155,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,55,BLOC D'INCLUSION A GARDER AU DELA DU DELAI LEGAL,BLOC D'INCLUSION A GARDER AU DELA DU DELAI LEGAL,non,1998 AJOUT
0156,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,56,"LESION D'INTERET PARTICULIER AYANT FAIT L'OBJET D'UN PROTOCOLE DE RECHERCHE (DOUBLE CODAGE AVEC 0191, 0193, 0194)","LESION D'INTERET PARTICULIER AYANT FAIT L'OBJET D'UN PROTOCOLE DE RECHERCHE (DOUBLE CODAGE AVEC 0191, 0193, 0194)",non,2007 AJOUT
0160,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,60,LESION DE DIAGNOSTIC NON EVIDENT,LESION DE DIAGNOSTIC NON EVIDENT,non,
0161,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,61,LESION DIFFICILE A CLASSER (DIAGNOSTIC INCERTAIN),LESION DIFFICILE A CLASSER (DIAGNOSTIC INCERTAIN),non,
0162,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,62,LESION NON IDENTIFIEE OU NON IDENTIFIABLE (DIAGNOSTIC IMPOSSIBLE),LESION NON IDENTIFIEE OU NON IDENTIFIABLE (DIAGNOSTIC IMPOSSIBLE),non,
0163,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,63,LESION A EVALUATION OU INTERPRETATION LIMITEE PAR INSUFFISANCE OU ABSENCE DE RENSEIGNEMENTS CLINIQUES,LESION A EVALUATION OU INTERPRETATION LIMITEE PAR INSUFFISANCE OU ABSENCE DE RENSEIGNEMENTS CLINIQUES,non,1998 AJOUT
0164,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,64,LESION A EVALUATION OU INTERPRETATION LIMITEE PAR MATERIEL INSUFFISANT OU INADEQUAT,LESION A EVALUATION OU INTERPRETATION LIMITEE PAR MATERIEL INSUFFISANT OU INADEQUAT,non,1998 AJOUT
0165,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,65,LESION DONT LA BENIGNITE OU LA MALIGNITE N'EST PAS ASSUREE,LESION DONT LA BENIGNITE OU LA MALIGNITE N'EST PAS ASSUREE,non,
0166,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,66,ASSOCIATION OU COLLISION LESIONNELLE,ASSOCIATION OU COLLISION LESIONNELLE,non,2007 AJOUT
0169,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,69,EXAMEN COMPLEMENTAIRE REALISE À LA DEMANDE DU CLINICIEN,EXAMEN COMPLEMENTAIRE REALISE A LA DEMANDE DU CLINICIEN,non,2007 AJOUT
0170,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,70,LESION A EXPERTISER (SAI),LESION A EXPERTISER (SAI),oui,
0171,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,71,LESION ENVOYEE POUR EXPERTISE (DEMANDE D'AVIS),LESION ENVOYEE POUR EXPERTISE (DEMANDE D'AVIS),non,
0172,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,72,LESION RECUE POUR EXPERTISE (REPONSE A UNE DEMANDE D'AVIS),LESION RECUE POUR EXPERTISE (REPONSE A UNE DEMANDE D'AVIS),non,
0174,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,74,LESION D'INTERET MEDICO-LEGAL,LESION D'INTERET MEDICO-LEGAL,non,1997 AJOUT
0175,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,75,LESION AYANT FAIT L'OBJET D'UNE EXPERTISE MEDICOLEGALE,LESION AYANT FAIT L'OBJET D'UNE EXPERTISE MEDICOLEGALE,non,
0178,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,78,"LESION AYANT FAIT L'OBJET D'EXPERTISES DIVERSES (ASSURANCES, ANCIENS COMBATTANTS ETC)","LESION AYANT FAIT L'OBJET D'EXPERTISES DIVERSES (ASSURANCES, ANCIENS COMBATTANTS ETC)",non,
0179,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,79,LESION REVUE A LA DEMANDE D'UN MEDECIN,LESION REVUE A LA DEMANDE D'UN MEDECIN,non,1997 AJOUT
0180,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,80,LESION COMMUNIQUEE (SAI),LESION COMMUNIQUEE (SAI),oui,
0181,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,81,LESION (LAME OU BLOC) ENVOYEE EN REPONSE A UNE DEMANDE,LESION (LAME OU BLOC) ENVOYEE EN REPONSE A UNE DEMANDE,non,
0185,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,85,LESION (LAME OU BLOC) REÇUE EN REPONSE A UNE DEMANDE,LESION (LAME OU BLOC) RECUE EN REPONSE A UNE DEMANDE,non,
0187,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,87,COMPTE RENDU REMIS AU PATIENT,COMPTE RENDU REMIS AU PATIENT,non,2007 AJOUT
0188,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,88,LESION (LAME OU BLOC) CONFIEE AU MALADE,LESION (LAME OU BLOC) CONFIEE AU MALADE,non,
0189,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,89,LESION AVEC COMPTE RENDU MODIFIE A LA DEMANDE DU MEDECIN TRAITANT,LESION AVEC COMPTE RENDU MODIFIE A LA DEMANDE DU MEDECIN TRAITANT,non,
0190,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,90,LESION NON CODEE A L'ADICAP,LESION NON CODEE A L'ADICAP,non,
0191,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,91,PATIENT A INCLURE OU INCLUS DANS UN PROTOCOLE - CONSENTEMENT ACCEPTÉ,PATIENT A INCLURE OU INCLUS DANS UN PROTOCOLE - CONSENTEMENT ACCEPTE,non,2007 AJOUT
0192,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,92,PATIENT A INCLURE DANS UN PROTOCOLE - REFUS CONNU (PATIENT EXCLU),PATIENT A INCLURE DANS UN PROTOCOLE - REFUS CONNU (PATIENT EXCLU),non,2007 AJOUT
0193,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,93,PATIENT A INCLURE DANS UN PROTOCOLE - CONSENTEMENT NON CONNU,PATIENT A INCLURE DANS UN PROTOCOLE - CONSENTEMENT NON CONNU,non,2007 AJOUT
0194,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,94,ETUDE GENETIQUE CONSTITUTIONNELLE - AUTORISATION CONNUE,ETUDE GENETIQUE CONSTITUTIONNELLE - AUTORISATION CONNUE,non,2007 AJOUT
0195,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,95,LESION A CONTROLER ET/OU EXAMEN A RENOUVELER,LESION A CONTROLER ET/OU EXAMEN A RENOUVELER,non,1997 AJOUT
0197,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,97,PATIENT INCLUS DANS UN PROTOCOLE THERAPEUTIQUE,PATIENT INCLUS DANS UN PROTOCOLE THERAPEUTIQUE,non,1998 AJOUT
0198,0,CARACTERES GENERAUX,01,GENERALITE SUR LES PRELEVEMENTS ET LES LESIONS,98,PATIENT FAISANT L'OBJET D'UNE REUNION DE CONCERTATION PLURIDISCIPLINAIRE (RCP),PATIENT FAISANT L'OBJET D'UNE REUNION DE CONCERTATION PLURIDISCIPLINAIRE (RCP),non,2007 AJOUT
0200,0,CARACTERES GENERAUX,02,LESION PARTICULIERE A CERTAINS ORGANES MALADIES HEREDITAIRES,00,LESION PARTICULIERE A CERTAINS ORGANES MALADIES HEREDITAIRES,LESION PARTICULIERE A CERTAINS ORGANES MALADIES HEREDITAIRES,non,
1000,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),00,MALADIES HEREDITAIRES (SAI),MALADIES HEREDITAIRES (SAI),oui,
1010,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),10,DYSPLASIE CONGENITALE SYSTEMIQUE - PHACOMATOSE - HAMARTOMATOSE (SAI),DYSPLASIE CONGENITALE SYSTEMIQUE - PHACOMATOSE - HAMARTOMATOSE (SAI),oui,
1012,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),12,MALADIE DE BOURNEVILLE,MALADIE DE BOURNEVILLE,non,
1013,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),13,MALADIE DE COWDEN,MALADIE DE COWDEN,non,
1015,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),15,MALADIE DE GARDNER,MALADIE DE GARDNER,non,
1016,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),16,MALADIE DE MAFFUCI,MALADIE DE MAFFUCI,non,
1018,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),18,MALADIE D'OLDFIELD,MALADIE D'OLDFIELD,non,
1020,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),20,NEUROFIBROMATOSE,NEUROFIBROMATOSE,non,2007 MODIF
1021,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),21,NEUROFIBROMATOSE DE TYPE I - MALADIE DE VON RECKLINGHAUSEN,NEUROFIBROMATOSE DE TYPE I - MALADIE DE VON RECKLINGHAUSEN,non,2007 MODIF
1022,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),22,NEUROFIBROMATOSE DE TYPE II - CENTRALE,NEUROFIBROMATOSE DE TYPE II - CENTRALE,non,2007 MODIF
1023,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),23,MALADIE DE STURGE-WEBER-KRABBE,MALADIE DE STURGE-WEBER-KRABBE,non,
1025,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),25,MALADIE DE VON HIPPEL-LINDAU,MALADIE DE VON HIPPEL-LINDAU,non,
1026,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),26,NEOPLASIE ENDOCRINIENNE MULTIPLE DE TYPE 1 - NEM 1 - MALADIE DE WERNER (DOUBLE CODAGE AVEC LES TUMEURS RETROUVEES),NEOPLASIE ENDOCRINIENNE MULTIPLE DE TYPE 1 - NEM 1 - MALADIE DE WERNER (DOUBLE CODAGE AVEC LES TUMEURS RETROUVEES),non,1999 AJOUT
1027,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),27,NEOPLASIE ENDOCRINIENNE MULTIPLE DE TYPE 2A - NEM 2A - MALADIE DE SIPPLE-WERNER (DOUBLE CODAGE AVEC LES TUMEURS RETROUVEES),NEOPLASIE ENDOCRINIENNE MULTIPLE DE TYPE 2A - NEM 2A - MALADIE DE SIPPLE-WERNER (DOUBLE CODAGE AVEC LES TUMEURS RETROUVEES),non,1999 AJOUT
1028,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),28,NEOPLASIE ENDOCRINIENNE MULTIPLE DE TYPE 2B - NEM 2B - MALADIE DE GORLIN-WERNER (DOUBLE CODAGE AVEC LES TUMEURS RETROUVEES),NEOPLASIE ENDOCRINIENNE MULTIPLE DE TYPE 2B - NEM 2B - MALADIE DE GORLIN-WERNER (DOUBLE CODAGE AVEC LES TUMEURS RETROUVEES),non,1999 AJOUT
1029,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),29,DYSPLASIE CONGENITALE SYSTEMIQUE (NCA),DYSPLASIE CONGENITALE SYSTEMIQUE (NCA),non,
1030,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,10,MALADIES HEREDITAIRES (SAI),30,SYNDROME DE LI-FRAUMENI CYTOGENETIQUE,SYNDROME DE LI-FRAUMENI CYTOGENETIQUE,non,2000 AJOUT
1100,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,00,ANOMALIE CHROMOSOMIQUE,ANOMALIE CHROMOSOMIQUE,non,
1102,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,02,CHROMOSOME : ANOMALIE SUSPECTEE MAIS NON PROUVEE,CHROMOSOME : ANOMALIE SUSPECTEE MAIS NON PROUVEE,non,
1110,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,10,POLYPLOIDIE (SAI),POLYPLOIDIE (SAI),oui,
1112,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,12,TETRAPLOIDIE,TETRAPLOIDIE,non,
1113,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,13,TETRAPLOIDIE MOSAIQUE,TETRAPLOIDIE MOSAIQUE,non,
1114,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,14,TRIPLOIDIE,TRIPLOIDIE,non,
1115,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,15,TRIPLOIDIE MOSAIQUE,TRIPLOIDIE MOSAIQUE,non,1992 AJOUT
1120,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,20,ANOMALIE AUTOSOMIQUE NUMERIQUE - ANEUPLOIDIE AUTOSOMIQUE,ANOMALIE AUTOSOMIQUE NUMERIQUE - ANEUPLOIDIE AUTOSOMIQUE,non,
1121,1,MALADIE INNEE ET GRANDE MALFORMATION EXTERNE,11,ANOMALIE CHROMOSOMIQUE,21,TRISOMIE (SAI),TRISOMIE (SAI),oui,
